Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,12.49,13.37,12.3,12.75,12.392522,8752527
2018-11-22,12.85,12.91,12.21,12.75,12.392522,5673815
2018-11-23,12.75,12.85,12.62,12.84,12.479999000000001,5474121
2018-11-26,12.84,13.3,12.72,13.11,12.742429,5085525
2018-11-27,13.05,13.13,12.75,12.89,12.528597999999999,6747945
2018-11-28,12.12,12.74,12.06,12.7,12.343925,10082053
2018-11-29,12.56,12.66,12.25,12.39,12.042616,8038728
2018-11-30,12.02,12.17,11.71,11.71,11.381681,15507962
2018-12-03,11.53,11.64,11.26,11.62,11.294205,7041600
2018-12-04,11.4,11.59,11.4,11.49,11.16785,10601215
2018-12-05,11.35,12.08,11.34,11.82,11.488597,8646218
2018-12-06,11.55,12.13,11.55,12.1,11.760747,4583350
2018-12-07,12.05,12.78,12.03,12.6,12.246729,9192109
2018-12-10,12.46,12.585,12.33,12.49,12.139812,5910984
2018-12-11,12.27,12.415,12.1,12.41,12.062055,5395786
2018-12-12,12.37,12.45,12.1,12.23,11.887101,7801056
2018-12-13,12.22,12.3,11.99,12.1,11.760747,3975657
2018-12-14,11.81,11.89,11.71,11.72,11.391401,5113674
2018-12-17,11.65,12.09,11.61,11.93,11.595513,4120952
2018-12-18,11.78,12.035,11.71,11.72,11.391401,3725823
2018-12-19,11.61,11.835,11.56,11.82,11.488597,4364977
2018-12-20,12.0,12.28,11.85,12.05,11.712149,6923134
2018-12-21,12.0,12.125,11.46,11.61,11.284485,6351418
2018-12-24,11.49,11.7,11.34,11.7,11.371962,1445445
2018-12-27,11.8,11.84,11.65,11.77,11.44,2216127
2018-12-28,11.7,12.0,11.7,12.0,11.66355,1605489
2018-12-31,12.0,12.04,11.74,11.74,11.410839999999999,1333311
2019-01-02,11.75,11.88,11.71,11.71,11.381681,1098216
2019-01-03,11.71,12.0,11.71,11.99,11.653831,1599882
2019-01-04,11.81,11.88,11.71,11.81,11.478878,2127786
2019-01-07,11.91,11.98,11.65,11.71,11.381681,2266452
2019-01-08,11.6,11.77,11.46,11.72,11.391401,3262339
2019-01-09,11.76,11.85,11.67,11.85,11.517756,3009235
2019-01-10,11.92,11.95,11.57,11.66,11.333083,4299196
2019-01-11,11.6,11.68,11.5,11.53,11.206728,3018688
2019-01-14,11.53,11.89,11.5,11.89,11.556635,2914418
2019-01-15,11.78,11.83,11.6,11.76,11.43028,3237995
2019-01-16,11.75,11.99,11.7,11.88,11.546915,2658982
2019-01-17,11.83,12.1,11.79,12.08,11.741307,3841166
2019-01-18,12.05,12.36,12.05,12.32,11.974578,3555168
2019-01-21,12.48,12.695,12.45,12.66,12.305046,3098029
2019-01-22,12.6,12.79,12.51,12.74,12.382802,2082084
2019-01-23,12.73,12.74,12.51,12.59,12.237009,4244315
2019-01-24,12.5,12.53,12.29,12.45,12.100933,3918229
2019-01-25,12.41,12.81,12.37,12.75,12.392522,2524424
2019-01-29,12.63,12.65,12.51,12.59,12.237009,4137948
2019-01-30,12.55,12.76,12.51,12.75,12.392522,7627636
2019-01-31,12.66,12.705,12.49,12.51,12.159251,3365225
2019-02-01,12.51,12.69,12.5,12.6,12.246729,2403879
2019-02-04,12.6,12.7,12.48,12.59,12.237009,1599385
2019-02-05,12.6,12.765,12.54,12.73,12.373082,2674544
2019-02-06,12.48,12.6,12.37,12.41,12.062055,5988786
2019-02-07,12.38,12.38,12.085,12.27,11.925981,4491267
2019-02-08,12.2,12.39,12.1,12.39,12.042616,2600859
2019-02-11,12.38,12.45,12.28,12.41,12.062055,1584247
2019-02-12,12.25,12.335,12.2,12.26,11.916262,3474739
2019-02-13,12.3,12.35,12.1,12.26,11.916262,4323911
2019-02-14,12.31,12.6,12.29,12.5,12.149531,2321669
2019-02-15,12.45,12.6,12.39,12.6,12.246729,2229398
2019-02-18,12.6,12.65,12.5,12.59,12.237009,1600572
2019-02-19,12.13,12.44,12.08,12.08,11.741307,10815318
2019-02-20,11.87,11.87,11.32,11.37,11.051214,8992605
2019-02-21,11.27,11.34,11.12,11.34,11.022056,8248226
2019-02-22,11.23,11.54,11.205,11.53,11.206728,6101503
2019-02-25,11.5,11.53,11.33,11.46,11.138689999999999,5619601
2019-02-26,11.36,11.57,11.36,11.55,11.226168,3853484
2019-02-27,11.45,11.55,11.415,11.53,11.206728,3207987
2019-02-28,11.45,11.46,11.31,11.33,11.012336,7435078
2019-03-01,11.38,11.425,11.32,11.39,11.070654,2584597
2019-03-04,11.4,11.435,11.355,11.4,11.080373,1916073
2019-03-05,11.25,11.43,11.22,11.38,11.060934,3178866
2019-03-06,11.32,11.395,11.29,11.38,11.060934,8521062
2019-03-07,11.38,11.695,11.37,11.55,11.226168,7761328
2019-03-08,11.44,11.54,11.37,11.42,11.099813000000001,4363770
2019-03-11,11.42,11.42,11.25,11.28,10.963737,2583331
2019-03-12,11.35,11.415,11.155,11.23,10.915138,2916652
2019-03-13,11.19,11.44,11.13,11.38,11.060934,3801270
2019-03-14,11.32,11.37,11.18,11.25,10.934579,4230194
2019-03-15,11.25,11.45,11.24,11.45,11.128971,7617288
2019-03-18,11.45,11.52,11.34,11.45,11.128971,2127449
2019-03-19,11.38,11.44,11.33,11.38,11.060934,5321735
2019-03-20,11.43,11.71,11.4,11.66,11.333083,3820282
2019-03-21,11.53,11.6,11.45,11.58,11.255325,4837646
2019-03-22,11.58,11.7,11.55,11.68,11.352523,2867253
2019-03-25,11.65,11.715,11.6,11.7,11.371962,1722992
2019-03-26,11.72,12.07,11.72,11.96,11.624672,6444969
2019-03-27,11.88,11.91,11.7,11.89,11.556635,2588527
2019-03-28,11.85,11.87,11.57,11.83,11.498317,4566526
2019-03-29,11.8,11.87,11.76,11.85,11.517756,4389880
2019-04-01,11.86,12.05,11.86,12.02,11.68299,3030221
2019-04-02,11.99,12.1,11.91,12.08,11.741307,2095249
2019-04-03,12.1,12.24,12.06,12.2,11.857944,2875527
2019-04-04,12.15,12.19,12.1,12.18,11.838503999999999,1864190
2019-04-05,12.1,12.18,12.02,12.12,11.780186,2115434
2019-04-08,12.18,12.24,12.13,12.21,11.867662,1868419
2019-04-09,12.18,12.27,12.17,12.24,11.896821000000001,1924658
2019-04-10,12.23,12.3,12.165,12.21,11.867662,1641165
2019-04-11,12.19,12.25,12.085,12.1,11.760747,1511750
2019-04-12,12.15,12.29,12.06,12.29,11.945419000000001,2069196
2019-04-15,12.28,12.44,12.245,12.42,12.071775,1982221
2019-04-16,12.33,12.54,12.33,12.51,12.159251,1945182
2019-04-17,12.45,12.5,12.32,12.4,12.052335000000001,2134528
2019-04-18,12.48,12.52,12.355,12.45,12.100933,1515390
2019-04-23,12.45,12.52,12.37,12.45,12.100933,2069110
2019-04-24,12.49,12.6,12.45,12.54,12.188411,3286450
2019-04-26,12.56,12.65,12.52,12.6,12.246729,2044796
2019-04-29,12.61,12.7,12.555,12.64,12.285607,2114239
2019-04-30,12.65,12.7,12.57,12.61,12.256447,2077306
2019-05-01,12.67,12.68,12.45,12.65,12.295326,1481499
2019-05-02,12.6,12.7,12.51,12.6,12.246729,2232078
2019-05-03,12.61,12.69,12.54,12.66,12.305046,1361911
2019-05-06,12.56,12.7,12.46,12.64,12.285607,1936760
2019-05-07,12.66,12.85,12.61,12.81,12.450841,1879788
2019-05-08,12.75,12.81,12.69,12.74,12.382802,1438994
2019-05-09,12.62,12.75,12.62,12.71,12.353644000000001,1693752
2019-05-10,12.65,12.77,12.64,12.7,12.343925,2305461
2019-05-13,12.64,12.85,12.64,12.77,12.411963,1358493
2019-05-14,12.65,12.8,12.61,12.65,12.295326,1517073
2019-05-15,12.61,12.68,12.52,12.63,12.275886999999999,1755370
2019-05-16,12.6,12.64,12.5,12.57,12.217568,2801204
2019-05-17,12.75,12.96,12.7,12.93,12.567476,2867644
2019-05-20,12.93,13.0,12.82,12.92,12.557756,2165016
2019-05-21,12.84,13.12,12.82,13.04,12.674392,3723111
2019-05-22,13.0,13.12,12.92,12.93,12.567476,4541790
2019-05-23,13.0,13.0,12.79,12.87,12.509158,1822735
2019-05-24,12.75,12.83,12.41,12.43,12.081495,4260304
2019-05-27,12.4,12.54,12.34,12.5,12.149531,2248917
2019-05-28,12.5,12.6,12.45,12.57,12.217568,4267566
2019-05-29,12.57,12.71,12.555,12.58,12.227288,1532891
2019-05-30,12.63,12.7,12.48,12.53,12.178691,2697507
2019-05-31,12.48,12.54,12.4,12.45,12.100933,3176402
2019-06-03,12.33,12.55,12.32,12.54,12.188411,2209188
2019-06-04,12.56,12.74,12.52,12.65,12.295326,3068356
2019-06-05,12.71,12.75,12.67,12.74,12.382802,2271853
2019-06-06,12.71,12.78,12.6,12.65,12.295326,1849817
2019-06-07,12.7,12.95,12.65,12.94,12.577195,2227512
2019-06-11,12.94,13.01,12.9,12.99,12.625793,2327915
2019-06-12,13.05,13.26,13.02,13.21,12.839625,2072645
2019-06-13,13.24,13.3,13.12,13.17,12.800747,1823238
2019-06-14,13.16,13.16,12.94,13.01,12.645232,2083423
2019-06-17,12.93,12.95,12.77,12.77,12.411963,3024497
2019-06-18,13.05,13.69,12.85,13.21,12.839625,8200189
2019-06-19,13.41,13.83,13.39,13.78,13.393642999999999,6659962
2019-06-20,13.95,14.04,13.81,13.83,13.442242000000002,6001577
2019-06-21,13.75,13.8,13.42,13.42,13.043737,8149574
2019-06-24,13.4,13.4,13.0,13.11,12.742429,3959546
2019-06-25,13.18,13.24,12.91,13.06,12.693831,3793736
2019-06-26,13.03,13.245,12.99,13.22,12.849345,3064391
2019-06-27,13.16,13.37,13.16,13.33,12.956261,2451355
