Date,Open,High,Low,Close,Adj Close,Volume
2014-11-25,2.22,2.23,2.14,2.14,1.764662,450943682
2014-11-26,2.14,2.15,2.08,2.1,1.7316770000000001,129664791
2014-11-27,2.11,2.18,2.1,2.18,1.7976459999999999,58417316
2014-11-28,2.17,2.19,2.14,2.17,1.7894,32804689
2014-12-01,2.15,2.16,2.13,2.13,1.756416,18660243
2014-12-02,2.13,2.14,2.12,2.14,1.764662,14911141
2014-12-03,2.14,2.15,2.13,2.15,1.7729080000000002,22873897
2014-12-04,2.15,2.16,2.14,2.16,1.7811540000000001,27162171
2014-12-05,2.16,2.16,2.14,2.15,1.7729080000000002,20147344
2014-12-08,2.16,2.19,2.15,2.19,1.8058919999999998,235572013
2014-12-09,2.17,2.22,2.17,2.22,1.83063,34591761
2014-12-10,2.21,2.25,2.2,2.24,1.8471220000000002,23885156
2014-12-11,2.24,2.3,2.22,2.26,1.8636150000000002,63629339
2014-12-12,2.27,2.3,2.27,2.28,1.880107,24702001
2014-12-15,2.28,2.3,2.26,2.3,1.8965990000000001,31298062
2014-12-16,2.3,2.31,2.27,2.29,1.888353,14287025
2014-12-17,2.29,2.29,2.26,2.28,1.880107,16079066
2014-12-18,2.29,2.3,2.28,2.3,1.8965990000000001,15918533
2014-12-19,2.3,2.3,2.28,2.29,1.888353,11318002
2014-12-22,2.29,2.3,2.28,2.3,1.8965990000000001,7966417
2014-12-23,2.3,2.32,2.29,2.31,1.9048450000000001,11075910
2014-12-24,2.32,2.38,2.31,2.38,1.962568,7360902
2014-12-29,2.38,2.4,2.36,2.39,1.9708139999999998,8424974
2014-12-30,2.4,2.44,2.39,2.41,1.9873060000000002,12922075
2014-12-31,2.42,2.43,2.41,2.41,1.9873060000000002,4022616
2015-01-02,2.41,2.43,2.39,2.43,2.0037979999999997,4714404
2015-01-05,2.42,2.43,2.35,2.39,1.9708139999999998,24195825
2015-01-06,2.34,2.35,2.31,2.35,1.937829,14458929
2015-01-07,2.35,2.39,2.34,2.39,1.9708139999999998,11495419
2015-01-08,2.39,2.4,2.38,2.39,1.9708139999999998,10413692
