Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,2.43,2.47,2.4,2.4,2.277501,57508656
2018-07-16,2.42,2.45,2.415,2.45,2.324949,15449724
2018-07-17,2.46,2.47,2.44,2.47,2.343928,15337542
2018-07-18,2.48,2.48,2.45,2.46,2.334439,15357829
2018-07-19,2.47,2.49,2.45,2.48,2.353418,16711241
2018-07-20,2.48,2.51,2.475,2.5,2.3723970000000003,12650071
2018-07-23,2.5,2.51,2.48,2.5,2.3723970000000003,4900707
2018-07-24,2.5,2.51,2.5,2.5,2.3723970000000003,11764821
2018-07-25,2.5,2.51,2.49,2.51,2.381887,6402540
2018-07-26,2.5,2.51,2.49,2.51,2.381887,12438405
2018-07-27,2.5,2.5,2.49,2.5,2.3723970000000003,2269490
2018-07-30,2.5,2.5,2.48,2.49,2.362908,2925978
2018-07-31,2.49,2.49,2.45,2.46,2.334439,18880929
2018-08-01,2.47,2.47,2.44,2.45,2.324949,6408855
2018-08-02,2.46,2.46,2.42,2.44,2.31546,5919954
2018-08-03,2.44,2.46,2.44,2.45,2.324949,3341456
2018-08-06,2.46,2.46,2.42,2.44,2.31546,3261819
2018-08-07,2.44,2.45,2.41,2.41,2.286991,14169184
2018-08-08,2.42,2.42,2.38,2.42,2.29648,1763050
2018-08-09,2.42,2.42,2.39,2.4,2.277501,5847384
2018-08-10,2.39,2.41,2.36,2.37,2.249032,2257895
2018-08-13,2.37,2.39,2.31,2.36,2.239543,7106416
2018-08-14,2.36,2.43,2.36,2.42,2.29648,6691531
2018-08-15,2.41,2.45,2.38,2.44,2.31546,9481447
2018-08-16,2.41,2.43,2.4,2.42,2.29648,3806200
2018-08-17,2.42,2.46,2.4,2.43,2.30597,7331519
2018-08-20,2.44,2.46,2.44,2.45,2.324949,1267549
2018-08-21,2.45,2.465,2.43,2.45,2.324949,2221213
2018-08-22,2.45,2.45,2.41,2.42,2.29648,2598686
2018-08-23,2.4,2.41,2.36,2.4,2.277501,2590424
2018-08-24,2.38,2.4,2.37,2.38,2.258522,1395202
2018-08-27,2.38,2.41,2.375,2.4,2.277501,3221070
2018-08-28,2.39,2.4,2.35,2.38,2.258522,2407075
2018-08-29,2.38,2.4,2.37,2.4,2.277501,3593280
2018-08-30,2.35,2.41,2.33,2.35,2.230053,27644687
2018-08-31,2.35,2.35,2.31,2.35,2.230053,5247938
2018-09-03,2.34,2.35,2.29,2.33,2.211074,3639596
2018-09-04,2.32,2.32,2.245,2.27,2.1541360000000003,9406282
2018-09-05,2.25,2.295,2.25,2.28,2.163626,3010867
2018-09-06,2.26,2.27,2.23,2.26,2.144647,1688709
2018-09-07,2.23,2.23,2.16,2.2,2.08771,11091966
2018-09-10,2.16,2.19,2.15,2.17,2.059241,2701266
2018-09-11,2.28,2.38,2.27,2.33,2.211074,8307945
2018-09-12,2.34,2.395,2.31,2.38,2.258522,17276296
2018-09-13,2.38,2.43,2.33,2.37,2.249032,74460339
2018-09-14,2.38,2.4,2.36,2.39,2.2680119999999997,3475814
2018-09-17,2.38,2.43,2.38,2.41,2.286991,3572436
2018-09-18,2.4,2.415,2.39,2.4,2.277501,4249260
2018-09-19,2.39,2.395,2.34,2.37,2.249032,5081911
2018-09-20,2.37,2.39,2.355,2.38,2.258522,4612682
2018-09-21,2.41,2.42,2.34,2.36,2.239543,7044687
2018-09-24,2.35,2.36,2.32,2.34,2.220564,2419228
2018-09-25,2.37,2.375,2.29,2.34,2.220564,2097833
2018-09-26,2.32,2.36,2.265,2.29,2.173116,2562399
2018-09-27,2.3,2.3,2.25,2.27,2.1541360000000003,2903771
2018-09-28,2.29,2.29,2.255,2.28,2.163626,4342628
2018-10-01,2.28,2.31,2.25,2.28,2.163626,1005337
2018-10-02,2.28,2.3,2.21,2.24,2.125668,1784440
2018-10-03,2.25,2.27,2.22,2.24,2.125668,1139511
2018-10-04,2.25,2.295,2.25,2.26,2.144647,1933620
2018-10-05,2.28,2.29,2.26,2.29,2.173116,1667535
2018-10-08,2.29,2.29,2.22,2.25,2.135157,3929654
2018-10-09,2.21,2.24,2.18,2.2,2.08771,2721168
2018-10-10,2.19,2.25,2.18,2.22,2.106689,4645819
2018-10-11,2.23,2.23,2.12,2.14,2.0307720000000002,3697701
2018-10-12,2.13,2.17,2.12,2.17,2.059241,2826687
2018-10-15,2.13,2.17,2.115,2.14,2.0307720000000002,3520025
2018-10-16,2.11,2.12,2.085,2.12,2.011792,4874130
2018-10-17,2.12,2.22,2.095,2.21,2.0971990000000003,5245208
2018-10-18,2.18,2.2,2.14,2.2,2.08771,2609515
2018-10-19,2.17,2.17,2.12,2.15,2.040262,4340846
2018-10-22,2.12,2.14,2.09,2.09,1.983324,2258093
2018-10-23,2.07,2.09,2.01,2.05,1.945366,4541650
2018-10-24,2.03,2.11,2.02,2.1,1.9928130000000002,3455188
2018-10-25,2.06,2.12,2.05,2.09,1.983324,4433716
2018-10-26,2.12,2.16,2.11,2.15,2.040262,4349040
2018-10-29,2.19,2.2,2.12,2.2,2.08771,4385832
2018-10-30,2.15,2.16,2.12,2.14,2.0307720000000002,3492749
2018-10-31,2.12,2.15,2.11,2.12,2.011792,4116972
2018-11-01,2.09,2.16,2.09,2.11,2.002303,4913877
2018-11-02,2.06,2.1,2.04,2.07,1.964345,2713034
2018-11-05,2.04,2.1,2.025,2.06,1.954855,1861472
2018-11-06,2.06,2.09,2.05,2.09,1.983324,968424
2018-11-07,2.09,2.1,2.04,2.07,1.964345,2251272
2018-11-08,2.1,2.1,2.05,2.07,1.964345,1887629
2018-11-09,2.06,2.14,2.06,2.13,2.0212830000000004,2628752
2018-11-12,2.07,2.16,2.07,2.14,2.0307720000000002,1848071
2018-11-13,2.12,2.18,2.11,2.12,2.011792,2111539
2018-11-14,2.1,2.17,2.05,2.1,1.9928130000000002,5696354
2018-11-15,2.12,2.12,2.06,2.09,1.983324,4219767
2018-11-16,2.06,2.1,2.05,2.05,1.945366,2240571
2018-11-19,1.745,1.87,1.66,1.8,1.7081259999999998,14379255
2018-11-20,1.76,1.84,1.73,1.83,1.736595,9175114
2018-11-21,1.805,1.867,1.795,1.83,1.736595,4045830
2018-11-22,1.81,1.85,1.78,1.845,1.7508290000000002,6406971
2018-11-23,1.845,1.905,1.815,1.895,1.7982770000000001,3552272
2018-11-26,1.865,1.995,1.85,1.985,1.8836830000000002,5787147
2018-11-27,2.0,2.04,1.91,1.945,1.845725,5769068
2018-11-28,1.985,1.99,1.925,1.925,1.826746,4316177
2018-11-29,1.91,1.97,1.91,1.95,1.85047,4035759
2018-11-30,1.985,2.0,1.935,1.975,1.874194,31287619
2018-12-03,1.99,2.002,1.952,2.0,1.897918,2261326
2018-12-04,1.985,2.0,1.962,1.985,1.8836830000000002,2782133
2018-12-05,1.94,2.0,1.94,1.99,1.8884279999999998,3389095
2018-12-06,1.975,2.002,1.97,2.0,1.897918,3121520
2018-12-07,1.985,2.0,1.965,1.99,1.8884279999999998,2452167
2018-12-10,1.94,1.94,1.89,1.9,1.8030220000000001,2826816
2018-12-11,1.9,1.92,1.88,1.9,1.8030220000000001,2357566
2018-12-12,1.89,1.935,1.885,1.92,1.8220009999999998,2518615
2018-12-13,1.93,1.935,1.895,1.925,1.826746,3175739
2018-12-14,1.9,1.965,1.9,1.94,1.8409799999999998,3112464
2018-12-17,1.915,1.99,1.915,1.97,1.8694490000000001,2926304
2018-12-18,1.93,1.9375,1.855,1.895,1.7982770000000001,8470927
2018-12-19,1.86,1.9,1.84,1.885,1.788787,2702398
2018-12-20,1.85,1.87,1.82,1.845,1.7508290000000002,3648976
2018-12-21,1.75,1.79,1.7,1.72,1.632209,32793715
2018-12-24,1.72,1.745,1.705,1.74,1.651188,1299619
2018-12-27,1.775,1.82,1.77,1.8,1.7081259999999998,3031677
2018-12-28,1.85,1.895,1.81,1.835,1.741339,3129161
2018-12-31,1.865,1.87,1.8,1.8,1.7081259999999998,2248352
2019-01-02,1.77,1.825,1.745,1.745,1.655933,1399784
2019-01-03,1.755,1.86,1.752,1.85,1.7555740000000002,1330885
2019-01-04,1.81,1.83,1.785,1.8,1.7081259999999998,9160288
2019-01-07,1.81,1.9,1.81,1.865,1.7698080000000003,3584814
2019-01-08,1.85,1.915,1.85,1.865,1.7698080000000003,3177410
2019-01-09,1.85,1.85,1.8,1.815,1.72236,2631679
2019-01-10,1.84,1.84,1.8,1.815,1.72236,2322153
2019-01-11,1.835,1.85,1.82,1.83,1.736595,1846832
2019-01-14,1.82,1.87,1.82,1.83,1.736595,3387058
2019-01-15,1.82,1.85,1.8,1.825,1.73185,795213
2019-01-16,1.81,1.83,1.81,1.82,1.727105,1252767
2019-01-17,1.82,1.82,1.78,1.8,1.7081259999999998,3548530
2019-01-18,1.835,1.845,1.82,1.83,1.736595,2210652
2019-01-21,1.85,1.86,1.81,1.825,1.73185,1387586
2019-01-22,1.85,1.85,1.81,1.825,1.73185,5605297
2019-01-23,1.815,1.845,1.807,1.82,1.727105,2325580
2019-01-24,1.83,1.835,1.81,1.815,1.72236,2633992
2019-01-25,1.73,1.815,1.72,1.8,1.7081259999999998,3205907
2019-01-29,1.77,1.775,1.745,1.76,1.6701669999999997,2742313
2019-01-30,1.78,1.825,1.78,1.815,1.72236,1907211
2019-01-31,1.84,1.845,1.82,1.84,1.746084,8726846
2019-02-01,1.845,1.85,1.82,1.83,1.736595,893616
2019-02-04,1.84,1.8625,1.82,1.86,1.765063,2717809
2019-02-05,1.85,1.93,1.85,1.925,1.826746,3109847
2019-02-06,2.11,2.26,2.11,2.19,2.07822,8339869
2019-02-07,2.22,2.25,2.21,2.25,2.135157,8467439
2019-02-08,2.25,2.26,2.23,2.24,2.125668,4972715
2019-02-11,2.23,2.25,2.2,2.22,2.106689,12278443
2019-02-12,2.26,2.32,2.24,2.27,2.1541360000000003,3648101
