Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,3.41,3.89,3.41,3.89,3.8611660000000003,3373476
2016-04-12,4.0,4.05,3.74,3.84,3.8115370000000004,752563
2016-04-13,4.05,4.15,4.04,4.05,4.01998,2138748
2016-04-14,4.09,4.1,4.02,4.03,4.000128,771655
2016-04-15,4.04,4.05,4.01,4.01,3.9802769999999996,243624
2016-04-18,4.03,4.05,3.9,3.9,3.871092,748362
2016-04-19,3.99,4.0,3.87,3.95,3.920721,271552
2016-04-20,4.0,4.03,3.95,3.95,3.920721,169215
2016-04-21,4.0,4.04,3.98,4.04,4.010053,207837
2016-04-22,4.01,4.02,3.99,4.0,3.9703510000000004,154987
2016-04-26,4.0,4.0,3.98,4.0,3.9703510000000004,188855
2016-04-27,4.0,4.02,3.99,4.01,3.9802769999999996,114500
2016-04-28,4.01,4.02,4.0,4.02,3.9902019999999996,140712
2016-04-29,4.02,4.08,4.01,4.04,4.010053,147110
2016-05-02,4.08,4.1,4.05,4.1,4.069609,248448
2016-05-03,4.2,4.35,4.15,4.25,4.218498,129435
2016-05-04,4.25,4.3,4.21,4.3,4.268127,81987
2016-05-05,4.3,4.36,4.27,4.3,4.268127,78140
2016-05-06,4.35,4.38,4.24,4.37,4.337608,136896
2016-05-09,4.39,4.57,4.37,4.56,4.5262,126378
2016-05-10,4.59,5.05,4.59,4.73,4.69494,284422
2016-05-11,4.84,4.95,4.75,4.77,4.734643,480412
2016-05-12,4.77,4.77,4.65,4.71,4.675088,238759
2016-05-13,4.72,4.72,4.55,4.59,4.5559769999999995,141771
2016-05-16,4.59,4.6,4.5,4.5,4.4666440000000005,175985
2016-05-17,4.55,4.55,4.26,4.29,4.258201000000001,199546
2016-05-18,4.41,4.6,4.41,4.55,4.516274,236764
2016-05-19,4.61,4.66,4.55,4.58,4.546051,308198
2016-05-20,4.66,4.66,4.49,4.5,4.4666440000000005,158237
2016-05-23,4.55,4.55,4.4,4.45,4.417015,1011892
2016-05-24,4.45,4.45,4.36,4.4,4.367386,556069
2016-05-25,4.4,4.45,4.34,4.38,4.347534,240727
2016-05-26,4.38,4.4,4.36,4.4,4.367386,82081
2016-05-27,4.4,4.45,4.31,4.35,4.317756,104502
2016-05-30,4.4,4.4,4.3,4.35,4.317756,115770
2016-05-31,4.36,4.39,4.3,4.37,4.337608,17004
2016-06-01,4.39,4.4,4.38,4.38,4.347534,177735
2016-06-02,4.4,4.45,4.39,4.39,4.3574589999999995,11855
2016-06-03,4.45,4.45,4.39,4.4,4.367386,50560
2016-06-06,4.45,4.45,4.39,4.41,4.377311,14957
2016-06-07,4.4,4.41,4.31,4.36,4.327682,118403
2016-06-08,4.4,4.4,4.33,4.36,4.327682,45895
2016-06-09,4.4,4.4,4.36,4.38,4.347534,19898
2016-06-10,4.4,4.4,4.29,4.36,4.327682,123270
2016-06-14,4.35,4.36,4.25,4.27,4.2383489999999995,110578
2016-06-15,4.3,4.31,4.23,4.27,4.2383489999999995,137159
2016-06-16,4.24,4.25,4.11,4.14,4.109312999999999,150949
2016-06-17,4.15,4.15,4.05,4.09,4.059683000000001,248887
2016-06-20,4.1,4.2,4.1,4.18,4.1490160000000005,65927
2016-06-21,4.2,4.255,4.1,4.18,4.1490160000000005,75415
2016-06-22,4.25,4.25,4.19,4.2,4.168868,427854
2016-06-23,4.19,4.45,4.19,4.45,4.417015,123514
2016-06-24,4.4,4.47,4.35,4.44,4.407089,128106
2016-06-27,4.4,4.4,4.29,4.4,4.367386,85317
2016-06-28,4.4,4.4,4.23,4.32,4.287979,107744
2016-06-29,4.32,4.4,4.2,4.4,4.367386,78865
2016-06-30,4.4,4.45,4.34,4.43,4.397163,95654
